frame,matchPeriod,team.name,player.id.wyscout,player.id.skillcorner,pass.recipient.id.wyscout,pass.recipient.id.skillcorner,location.x,location.y,pass.endLocation.x,pass.endLocation.y,play_direction,dxt,tracking.object_id,tracking.x,tracking.y,tracking.z,extrapolated,location.x_original,location.y_original,endLocation.x_original,endLocation.y_original,tracking.is_self,tracking.is_teammate,responsibility
109,1,Netherland,476361,14407,370,10738,22.235294117647058,7.046153846153846,26.470588235294116,-14.66,TOP_TO_BOTTOM,-0.0006597282212928001,7017,7.95,11.05,0.0,False,29,60,25,28,False,True,0.0
109,1,Netherland,476361,14407,370,10738,22.235294117647058,7.046153846153846,26.470588235294116,-14.66,TOP_TO_BOTTOM,-0.0006597282212928001,3837,-2.18,-2.56,0.0,False,29,60,25,28,False,True,0.0
109,1,Netherland,476361,14407,370,10738,22.235294117647058,7.046153846153846,26.470588235294116,-14.66,TOP_TO_BOTTOM,-0.0006597282212928001,10082,-13.57,21.08,0.0,True,29,60,25,28,False,True,0.0
109,1,Netherland,476361,14407,370,10738,22.235294117647058,7.046153846153846,26.470588235294116,-14.66,TOP_TO_BOTTOM,-0.0006597282212928001,31930,-3.01,-25.41,0.0,False,29,60,25,28,False,True,0.0
109,1,Netherland,476361,14407,370,10738,22.235294117647058,7.046153846153846,26.470588235294116,-14.66,TOP_TO_BOTTOM,-0.0006597282212928001,7387,-7.8,-0.47,0.0,True,29,60,25,28,False,True,0.0
151,1,Netherland,370,10738,476361,14407,26.470588235294116,-14.66,26.470588235294116,0.7046153846153846,TOP_TO_BOTTOM,0.00014704993446840002,-1,23.81,-15.81,0.23,True,25,28,25,51,False,False,0.0
151,1,Netherland,370,10738,476361,14407,26.470588235294116,-14.66,26.470588235294116,0.7046153846153846,TOP_TO_BOTTOM,0.00014704993446840002,7604,-37.29,-2.06,0.0,True,25,28,25,51,False,False,0.0
151,1,Netherland,370,10738,476361,14407,26.470588235294116,-14.66,26.470588235294116,0.7046153846153846,TOP_TO_BOTTOM,0.00014704993446840002,16320,-10.74,-12.44,0.0,True,25,28,25,51,False,False,0.0
151,1,Netherland,370,10738,476361,14407,26.470588235294116,-14.66,26.470588235294116,0.7046153846153846,TOP_TO_BOTTOM,0.00014704993446840002,11516,-10.91,-1.3,0.0,True,25,28,25,51,False,False,0.0
151,1,Netherland,370,10738,476361,14407,26.470588235294116,-14.66,26.470588235294116,0.7046153846153846,TOP_TO_BOTTOM,0.00014704993446840002,11630,-8.38,-23.64,0.0,True,25,28,25,51,False,False,0.0
151,1,Netherland,370,10738,476361,14407,26.470588235294116,-14.66,26.470588235294116,0.7046153846153846,TOP_TO_BOTTOM,0.00014704993446840002,11606,-11.54,11.37,0.0,True,25,28,25,51,False,False,0.0
151,1,Netherland,370,10738,476361,14407,26.470588235294116,-14.66,26.470588235294116,0.7046153846153846,TOP_TO_BOTTOM,0.00014704993446840002,12218,-1.17,-5.55,0.0,True,25,28,25,51,False,False,0.0
151,1,Netherland,370,10738,476361,14407,26.470588235294116,-14.66,26.470588235294116,0.7046153846153846,TOP_TO_BOTTOM,0.00014704993446840002,277,2.6,4.18,0.0,True,25,28,25,51,False,False,0.0
151,1,Netherland,370,10738,476361,14407,26.470588235294116,-14.66,26.470588235294116,0.7046153846153846,TOP_TO_BOTTOM,0.00014704993446840002,946,1.25,-14.91,0.0,True,25,28,25,51,False,False,0.0
151,1,Netherland,370,10738,476361,14407,26.470588235294116,-14.66,26.470588235294116,0.7046153846153846,TOP_TO_BOTTOM,0.00014704993446840002,5922,5.52,-22.3,0.0,True,25,28,25,51,False,False,0.0
151,1,Netherland,370,10738,476361,14407,26.470588235294116,-14.66,26.470588235294116,0.7046153846153846,TOP_TO_BOTTOM,0.00014704993446840002,6028,14.93,12.47,0.0,True,25,28,25,51,False,False,0.0
